system:index,Aspect_deg,Burned_Since_1996,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,group,lat,lon,.geo
1_0_0,261.84082,1,1145.9702,2,-0.15504715,0.122050576,71,-0.16288505,0.12046536,0.11347598,0.30838692,39.424847,0.21086791,0.3598152,-0.018920358,0.1999175,0.09370711,0.24949883,0.14603822,0.3469683,0.27636102,burned,34.30712250204181,-117.49584740970914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,163.7758,0,1124.5913,1,0.064551294,0.24121837,71,-0.13960946,0.143141,0.017560985,0.221777,22.43858,0.09829426,0.25942498,0.063471295,0.20891504,0.10254043,0.26555693,-0.041821763,0.23150186,0.15717044,burned,34.338289298282035,-117.468141556855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,236.77577,1,1188.9226,2,-0.052483935,0.31303266,71,-0.30051753,0.12762947,0.018667072,0.22812465,7.812868,0.016626533,0.23558351,-0.09706005,0.15290456,-0.021798713,0.22431156,-0.09464454,0.21327502,0.3191846,burned,34.34524154109756,-117.46801148833949,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,236.26501,1,1198.7092,1,0.005844136,0.30419356,71,-0.027327275,0.23874378,-0.0033247645,0.25214958,24.792912,0.18604597,0.37402326,0.11519334,0.3273069,0.028190706,0.26993766,-0.0036878427,0.2647165,0.02400251,burned,34.3439270538016,-117.49551024170111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,100.75158,1,1029.0774,2,0.18546002,0.41990244,71,-0.22027631,0.13604562,0.06485624,0.24601483,8.177318,0.12552857,0.27270207,0.025189998,0.21458238,0.056406975,0.23890887,0.006128037,0.23507836,0.28513256,burned,34.31325924876868,-117.4999737879641,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,180.2269,1,1388.8746,3,-0.31146443,0.14069527,71,-0.3687672,0.11998513,-0.046537366,0.29166347,6.005348,0.13136414,0.35095346,-0.17218192,0.19251293,-0.035657596,0.2526345,-0.010265532,0.2752374,0.32222986,burned,34.377364355639365,-117.5742724139109,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,290.49597,1,961.35144,1,0.09027764,0.40015948,71,0.103061646,0.28286296,0.15853699,0.33428216,30.970467,0.22619393,0.37696886,0.19683215,0.35593903,0.15496092,0.30938852,0.1513434,0.37734237,0.05547534,burned,34.31007837606011,-117.4616508643091,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,209.00726,1,1299.2556,1,-0.117042996,0.26161942,71,-0.12858348,0.23251355,0.004488491,0.31081587,30.824347,0.26227227,0.44808713,-6.6342135E-4,0.29957572,0.041494858,0.30930683,0.042083222,0.34534767,0.13307197,burned,34.30740378158329,-117.51924839060032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,47.28924,1,991.7642,2,0.13526608,0.25975934,71,-0.05523278,0.104396306,0.084076196,0.16814443,30.938251,0.066630214,0.15347481,0.069764376,0.15281485,0.04874615,0.17928368,0.015730117,0.154349,0.13930897,burned,34.296579804208356,-117.47828117964094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,123.089775,1,926.65356,3,-0.15668617,0.15847795,71,-0.22685316,0.12532645,0.27327728,0.5159909,28.036572,0.5912749,0.69173104,0.018958563,0.23908511,0.34151953,0.48120615,0.5601145,0.6596584,0.5001305,burned,34.24990763463544,-117.48062660501255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,8.671604,1,1010.2938,2,-0.06366191,0.19674626,71,-0.2110828,0.15474609,0.030605769,0.23164874,11.864607,0.10194838,0.25803468,0.008876148,0.2001998,0.03049056,0.22942674,-0.022851711,0.2277761,0.24168858,burned,34.31899981624606,-117.45909165801454,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,175.56424,1,878.71246,2,-0.1714553,0.21298659,71,-0.3478331,0.115167685,0.101175286,0.34017006,3.9591756,0.09767661,0.29393238,-0.02032802,0.23251444,0.033000696,0.26505744,0.0097820265,0.2572292,0.4490084,burned,34.292254891025436,-117.45483046234827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,147.91045,1,1512.7244,2,-0.07898526,0.085264385,71,-0.16815458,0.11000807,0.124558076,0.28011012,34.525555,0.27476507,0.37038243,0.03092328,0.1442342,0.15775168,0.28152475,0.11848222,0.265234,0.29271266,burned,34.31166206983363,-117.55452681629806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,84.75081,1,1421.6008,2,-0.3547919,0.17225596,71,-0.40138867,0.12186231,-0.04086525,0.29200974,8.06395,0.07202399,0.31998086,-0.17523682,0.21168634,-0.046340834,0.24486162,-0.04277962,0.2659974,0.36052343,burned,34.368300382684026,-117.57221334996976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,90.72703,1,1134.4778,2,-0.17508876,0.20511435,71,-0.33726346,0.1648395,0.024425395,0.28797024,21.101912,0.11054985,0.35295835,-0.062245402,0.21384488,0.06146074,0.30486307,-0.044306524,0.28939205,0.36168885,burned,34.327164628732476,-117.50833860363525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,221.87593,1,1111.1724,2,-0.24936713,0.16703413,71,-0.3525909,0.15953039,0.02603689,0.3081932,16.27336,0.21355946,0.41441303,-0.09100352,0.1948926,0.052511934,0.27872944,0.07069807,0.31587803,0.3786278,burned,34.34037202673112,-117.50145451261729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,135.3048,1,1359.709,3,-0.34290332,0.14726964,71,-0.36863673,0.12120168,-0.024332002,0.24735883,13.494821,0.08129544,0.3464753,-0.19971605,0.16707712,0.014012665,0.28548118,-0.025338314,0.27217922,0.3443047,burned,34.35010904830919,-117.55532355773175,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,274.01782,1,1064.0558,2,-0.058631424,0.20189276,71,-0.14731507,0.14953691,0.008535653,0.23238824,24.192612,0.0810037,0.28698215,0.007496103,0.20546328,0.06277621,0.2579168,-0.02620111,0.2301932,0.15585072,burned,34.32945014988328,-117.48705100764334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,29.245932,1,1722.9281,4,-0.20913735,0.15265843,71,-0.24278887,0.11778176,0.43830472,0.58460563,31.58148,0.46628776,0.5905623,-0.07329366,0.22003108,0.25337493,0.44274074,0.37319607,0.5401283,0.6810936,burned,34.3026646692215,-117.57045072296292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,275.0075,1,1150.957,2,-0.08806967,0.15206333,71,-0.23937519,0.15358852,0.01992064,0.22436234,9.219793,0.08564774,0.28806165,-0.028806806,0.17236139,0.090170234,0.27360815,-0.023425171,0.23381391,0.25929582,burned,34.32668341988539,-117.43377831584644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,107.575226,1,956.6622,3,-0.08287159,0.16422653,71,-0.20225593,0.13512671,0.22684926,0.42782888,26.920813,0.2547548,0.40832257,0.04653199,0.20893987,0.12825166,0.31303126,0.20894976,0.40051818,0.4291052,burned,34.267040054142896,-117.47368499430529,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_0,173.02312,1,1088.0406,2,-0.0387606,0.16835138,90,-0.09860052,0.12742615,-0.013605844,0.1437632,3.112244,-0.026388166,0.14300834,-0.041512586,0.15791695,-0.03370953,0.16910216,-0.090890706,0.14655595,0.08499468,burned,34.33270523459624,-117.51563831030448,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_0,168.34834,1,1430.7999,1,0.09734899,0.29826328,71,0.12664796,0.27392566,0.17513722,0.3033581,30.357876,0.321141,0.43959185,0.2854956,0.40736416,0.14566892,0.29337576,0.13899532,0.30827463,0.048489254,burned,34.3075363882679,-117.54730774286142,"{""type"":""MultiPoint"",""coordinates"":[]}"
